4,12,20,28,36,44,52,60;0
3,4,12,20,28,36,44,52,60;0
4,11,12,20,28,36,44,52,59,60,61;0
3,11,19,27,35,43,51,59;0
2,3,11,19,27,35,43,51,59;0
0,1,2,3,4,5,6,7,15,23,24,25,26,27,28,29,30,31,32,40,48,56,57,58,59,60,61,62,63;1
0,1,2,3,4,5,6,7,15,23,31,32,33,34,35,36,37,38,39,40,48,56,57,58,59,60,61,62,63;1
1,2,3,4,5,6,8,15,23,25,26,27,28,29,30,32,40,48,56,57,58,59,60,61,62,63;1
1,2,3,4,5,6,8,15,23,31,33,34,35,36,37,38,40,48,56,57,58,59,60,61,62,63;1
1,2,3,4,5,6,8,15,23,30,36,37,42,43,49,56,57,58,59,60,61,62,63;1
0,1,2,3,4,5,6,7,15,23,26,27,28,29,30,31,39,47,55,56,57,58,59,60,61,62,63;2
1,2,3,4,5,6,8,15,23,26,27,28,29,30,39,47,48,55,57,58,59,60,61,62;2
0,1,2,3,4,5,6,7,15,23,31,32,33,34,35,36,37,38,39,47,55,56,57,58,59,60,61,62,63;2
0,1,2,3,4,5,6,7,15,23,31,34,35,36,37,38,39,47,55,56,57,58,59,60,61,62,63;2
1,2,3,4,5,6,8,15,23,31,34,35,36,37,38,47,48,55,57,58,59,60,61,62;2
0,7,8,15,16,23,24,31,32,33,34,35,36,37,38,39,47,55,63;3
0,6,8,14,16,22,24,30,32,33,34,35,36,37,38,39,46,54,62;3
4,7,11,15,18,23,25,31,32,33,34,35,36,37,38,39,47,55,63;3
4,6,11,14,18,22,25,30,32,33,34,35,36,37,38,39,46,54,62;3
6,7,12,13,15,18,19,23,25,31,32,33,34,35,36,37,38,39,47,55,63;3
0,1,2,3,4,5,6,7,8,16,24,25,26,27,28,29,30,31,39,47,55,56,57,58,59,60,61,62,63;4
0,1,2,3,4,5,6,7,8,16,24,25,26,27,28,29,30,39,47,48,55,57,58,59,60,61,62;4
0,1,2,3,4,5,6,7,8,16,24,32,33,34,35,36,37,38,39,47,55,56,57,58,59,60,61,62,63;4
0,1,2,3,4,5,6,7,8,16,24,32,33,34,35,36,37,38,47,48,55,57,58,59,60,61,62;4
